Date,Open,High,Low,Adj Close,Volume (BTC),Volume (Currency),Weighted Price,Weekday
12/7/2011,3.05,3.35,3.05,3.3,233.2092002,746.1184779,3.199352673,
12/8/2011,3.27,3.5,2.95,3.3,115.7177271,366.5644462,3.167746684,
12/9/2011,0,0,0,0,0,0,0,
12/12/2011,3.37,3.6,3.37,3.48,75.61897495,265.3358132,3.508852287,
12/13/2011,3.25,3.59,3.25,3.56,66.15055522,228.23,3.450160006,
12/14/2011,3.42,3.49,3.42,3.47,90.7647307,312.3849884,3.441700163,
12/15/2011,3.39,3.45,3.39,3.45,102.742029,352.96,3.435400327,
12/16/2011,3.25,3.5,3.25,3.44,84.613001,291.1196092,3.440601394,
12/19/2011,3.5,3.98,3.5,3.85,134.734292,513.2929365,3.809668118,
12/20/2011,4.75,4.75,4.53,4.55,94.74335338,432.98,4.570030346,
12/21/2011,4.38,4.38,4.38,4.38,20.89954338,91.54,4.38,
12/22/2011,4.19,4.19,4.17,4.17,8.53526439,35.71,4.183818845,
12/23/2011,3.86,4.35,3.84,4.22,149.4925619,625.8142861,4.186257016,
12/26/2011,4.27,4.33,4.27,4.33,56.73660508,243.7405,4.296000786,
12/27/2011,4.33,4.33,4.29,4.29,58.07386739,250.3369835,4.31066493,
12/28/2011,4.29,4.3,4.25,4.3,35.55011655,151.7241958,4.267895876,
12/29/2011,4.3,4.5,4.3,4.5,36.56096221,158.9788042,4.348321121,
12/30/2011,4.26,4.5,4.21,4.21,56.74004969,240.1436092,4.232347531,
1/2/2012,5,5,5,5,19.048,95.24,5,
1/3/2012,5.32,5.32,5.14,5.29,88.03728092,464.8052095,5.279640678,
1/4/2012,4.93,5.57,4.93,5.57,107.2332602,568.0761975,5.297574617,
1/5/2012,5.72,6.65,5.72,6.65,94.80182926,587.7347667,6.199614198,
1/6/2012,6.65,6.9,6,6,33.88274671,222.805219,6.575772057,
1/9/2012,6.99,6.99,6.23,6.3,66.8693229,443.0447197,6.625530221,
1/10/2012,6.24,7.14,6.24,7.14,62.28998018,413.2040844,6.633556203,
1/11/2012,7.14,7.33,6.25,7,105.358934,743.0116152,7.052193742,
1/12/2012,6.95,7.38,6.51,6.51,82.30163181,598.061631,7.266704413,
1/13/2012,6.8,7.36,6.6,6.6,48.97014484,344.9373546,7.043829578,
1/16/2012,6.2,7.1,6.2,7.1,12.64929577,86.74999997,6.8580893,
1/17/2012,6.5,6.9,6,6,80.51400824,493.4057886,6.128198053,
1/18/2012,5.99,7.1,5.99,7.1,133.4467691,820.9326021,6.151760792,
1/19/2012,5.52,7,5.52,6.22,246.715819,1542.221227,6.251002604,
1/20/2012,6.9,6.95,6.55,6.95,95.82599863,647.2017392,6.753926371,
1/23/2012,6.5,6.52,6,6.52,94.92062909,608.4838475,6.410448954,
1/24/2012,6.52,6.57,6,6.55,85.44624147,550.6356605,6.444235008,
1/25/2012,6.26,6.86,6,6.31,81.1232564,505.991269,6.237314568,
1/26/2012,6.27,6.3,5.5,5.5,29.91907058,183.9220267,6.147317517,
1/27/2012,3.8,6.03,3.8,5.88,92.07999287,528.4378821,5.73890012,
1/30/2012,5.3,5.58,5.3,5.58,15.16,83.9208,5.535672823,
