Date,Open,High,Low,Close,Adj Close,Volume
9/13/2011,177.520004,179.539993,176.289993,178.539993,178.539993,17246400
9/14/2011,177.550003,177.779999,176.050003,177.210007,177.210007,18122800
9/15/2011,174.610001,174.850006,172.559998,174.399994,174.399994,20897000
9/16/2011,173.720001,177.399994,173.710007,176.029999,176.029999,20693700
9/19/2011,176.830002,176.860001,172.199997,173.309998,173.309998,18301100
9/20/2011,173.179993,176.369995,172.839996,175.779999,175.779999,12667600
9/21/2011,174.789993,176.729996,173.139999,173.589996,173.589996,16431300
9/22/2011,169.300003,170.320007,167.479996,169.050003,169.050003,32476300
9/23/2011,164.509995,165.720001,158.550003,159.800003,159.800003,52981400
9/26/2011,157.119995,158.800003,154.190002,157.580002,157.580002,42373800
9/27/2011,161.610001,162.289993,159.910004,160.630005,160.630005,25124200
9/28/2011,160.729996,161.289993,155.559998,156.220001,156.220001,21776000
9/29/2011,158.119995,158.199997,156.139999,157.699997,157.699997,17340800
9/30/2011,157.300003,160,156.330002,158.059998,158.059998,16770300
10/3/2011,161.089996,161.559998,159.929993,160.960007,160.960007,14200400
10/4/2011,160.949997,161.029999,155.270004,157.639999,157.639999,24000000
10/5/2011,158.009995,160.320007,156.440002,159.460007,159.460007,15132300
10/6/2011,160.020004,161.110001,158.770004,160.490005,160.490005,12389500
10/7/2011,161.020004,161.580002,158.229996,159.179993,159.179993,12977400
10/10/2011,162.050003,163.320007,161.139999,163.270004,163.270004,8984500
10/11/2011,162.210007,162.509995,161.210007,162.100006,162.100006,8256900
10/12/2011,163.699997,164,162.5,163.259995,163.259995,10867900
10/13/2011,162.300003,162.479996,160.820007,162.300003,162.300003,8327900
10/14/2011,163.330002,163.820007,162.25,163.399994,163.399994,9737900
10/17/2011,164,164.160004,161.949997,162.619995,162.619995,8765700
10/18/2011,159.960007,162.029999,158.300003,161.839996,161.839996,15390800
10/19/2011,161.089996,161.429993,159.550003,159.869995,159.869995,8528700
10/20/2011,157.619995,158.419998,156.050003,157.770004,157.770004,17367500
10/21/2011,159.990005,160.449997,158.940002,159.520004,159.520004,13334500
10/24/2011,160.550003,161.330002,160.220001,161.020004,161.020004,10199800
10/25/2011,161.240005,166.339996,160.410004,165.589996,165.589996,22130800
10/26/2011,167.029999,168.050003,166.419998,167.399994,167.399994,17116300
10/27/2011,167.589996,170.289993,166.649994,169.550003,169.550003,15876900
10/28/2011,169.639999,169.940002,168.75,169.619995,169.619995,9362900
10/31/2011,167.759995,168.160004,166.910004,167.339996,167.339996,8437200
11/1/2011,164.029999,167.410004,163.610001,167.380005,167.380005,15335400
11/2/2011,168.589996,169.740005,167.300003,169.059998,169.059998,14530500
11/3/2011,171.169998,172.039993,169.899994,171.720001,171.720001,17610400
